0:00:01.00 --> 0:00:02.71 | 各位，
0:04:05.55 --> 0:04:07.35 | 所以，你是一个规划代理，
0:04:07.35 --> 0:04:11.00 | 你把已批准的规格变成具体的实施计划。
0:04:11.00 --> 0:04:16.44 | 输入，我告诉它基本上能访问哪些MCP。
0:04:16.44 --> 0:04:22.08 | 基本上，这个代理只有一个工作，就是只把规格变成计划。
0:04:22.08 --> 0:04:26.15 | 把计划写到任务里，然后完成任务。
0:04:26.15 --> 0:04:34.15 | 所以，你不想给代理任何它们不需要的访问权限。比如，
0:04:34.15 --> 0:04:38.51 | 我的客户支持机器人能访问我的Front MCP，
0:04:38.51 --> 0:04:41.56 | 但永远不能访问我的Gmail，
0:04:41.56 --> 0:04:45.80 | 永远不能访问我的GitHub仓库，
0:04:45.80 --> 0:04:52.00 | 因为我不想让这个代理在做客户支持时泄露我代码库的信息。
0:04:52.13 --> 0:04:56.46 | 这个系统基本上是围绕隔离每个代理能做什么来构建的，
0:04:56.46 --> 0:04:59.23 | 因为每个代理都会启动自己的小云容器，
0:04:59.23 --> 0:05:04.79 | 只有特定访问权限，它不能访问不需要的东西。
0:05:04.79 --> 0:05:09.65 | 比如，这个规划代理，它只能访问规划模式。
0:05:09.65 --> 0:05:13.23 | 它能访问我的Agent OS MCP，
0:05:13.23 --> 0:05:17.71 | 但不能访问HRFs或我的GitHub MCP。
0:05:17.71 --> 0:05:23.57 | 所以，即使有提示词泄漏进来，它也做不了什么，
0:05:23.57 --> 0:05:27.00 | 因为它没有访问权限，比如。
0:05:27.00 --> 0:05:30.31 | 嗯，然后基本上，每个代理都有一个协作列表。
0:05:30.31 --> 0:05:35.20 | 比如，我的规划代理可以在子任务中生成其他代理来帮忙，
0:05:35.20 --> 0:05:36.58 | 并在彼此之间沟通。
0:05:36.58 --> 0:05:42.49 | 所以，这些就是代理。代理有一个环境。什么是环境？
0:05:42.49 --> 0:05:44.51 | 我们可以说，“好的，
0:05:44.51 --> 0:05:48.05 | 它有网络访问权限还是有限访问权限？如果有限，
0:05:48.05 --> 0:05:54.00 | 我只希望它比如能访问api.front.com。
0:05:54.00 --> 0:05:56.13 | 如果这个引擎在这个环境里只能访问那个，
0:05:56.13 --> 0:05:58.75 | 它永远不能上我的GitHub。
0:05:58.75 --> 0:06:01.53 | 即使它有访问权限，它在基础层面就被阻止了。
0:06:01.53 --> 0:06:05.67 | 所以，这就是你怎么把它全部构建进去。
0:06:05.67 --> 0:06:10.03 | 顺便说一下，这一切都构建在Claude托管代理之上。
0:06:10.03 --> 0:06:15.66 | 他们基本上用他们的SDK让你启动所有这些会话、这些东西。
0:06:15.66 --> 0:06:18.89 | 这是一个UI，上面有我自己的东西，
0:06:18.89 --> 0:06:21.76 | 基于Claude托管代理。
0:06:21.76 --> 0:06:27.52 | 所以，它让你能启动一个会话，比如，设置MCP连接、
0:06:27.52 --> 0:06:29.35 | 文件API，等等。
0:06:29.35 --> 0:06:32.00 | 他们什么都建好了，我只是在上面构建了我的API。
0:06:32.00 --> 0:06:33.99 | 我开始开发自己的东西，但那个稍后再谈。
0:06:33.99 --> 0:06:36.58 | 所以，代理有技能。这边是技能。
0:06:36.58 --> 0:06:45.91 | 比如，规划模式是一个技能。所以，好的。/plan。我能做什么？
0:06:45.91 --> 0:06:47.97 | 这基本上就是我的规划技能。
0:06:47.97 --> 0:06:50.14 | 运行，我还可以添加文件。
0:06:50.14 --> 0:06:54.67 | 比如，我可以运行一个Python脚本。
0:06:54.67 --> 0:06:57.86 | 然后最后，代理能访问文件系统。
0:06:57.86 --> 0:07:05.15 | 因为每个会话启动自己的容器，你没有持久文件系统。
0:07:05.15 --> 0:07:09.18 | 所以，我连接了Cloudflare R2存储，
0:07:09.18 --> 0:07:11.03 | 在上面放了一个MCP，
0:07:11.03 --> 0:07:16.09 | 因为你不想给代理无限的文件系统访问权限，
0:07:16.09 --> 0:07:17.30 | 因为它会直接清空。
0:07:17.30 --> 0:07:23.11 | 所以，每个代理只能访问那个文件系统上的特定文件夹。
0:07:23.11 --> 0:07:26.00 | 如果你给访问权限，它可以读其他
0:07:26.04 --> 0:07:29.01 | 但比如，你可以说这个代理只能写，不能删除，
0:07:29.01 --> 0:07:31.53 | 因为它必须总是通过MCP来做这些事。
0:07:31.53 --> 0:07:35.60 | 它有服务器端检查来基本上禁止它。
0:07:35.60 --> 0:07:41.11 | 所以，这就是文件系统。这里比如有目标。
0:07:41.11 --> 0:07:47.63 | 我可以看到它们做什么，打开那些文件，编辑那些文件，下载那些文件。
0:07:47.63 --> 0:07:50.00 | 所以，和我的代理互动非常容易。
0:07:50.00 --> 0:07:52.07 | 保存，可以预览，等等。
0:07:52.07 --> 0:07:55.92 | 所以，一个相当高级的文件系统。
0:07:55.92 --> 0:07:59.63 | 然后，显然，代理需要MCP访问。
0:07:59.63 --> 0:08:02.71 | 所以，我有一个小的MCP访问区域，
0:08:02.71 --> 0:08:05.98 | 我们可以有GitHub。
0:08:05.98 --> 0:08:10.07 | 不是那么激动人心。显然，还有仓库。
0:08:10.07 --> 0:08:12.59 | 比如，这个项目，这是我的游戏。
0:08:12.59 --> 0:08:15.70 | 它有fight for repo。
0:08:15.70 --> 0:08:19.00 | 在哪里，挂载路径是什么。
0:08:19.00 --> 0:08:22.04 | 嗯，凭证文件，它怎么连接MCP。
0:08:22.04 --> 0:08:25.39 | 它有一个个人访问令牌。然后，环境。
0:08:25.39 --> 0:08:28.64 | 我还可以在这里添加任何文件。
0:08:28.64 --> 0:08:34.31 | 环境变量，因为它们需要被注入到会话中，嗯，比如，安全地。
0:08:34.31 --> 0:08:40.58 | 所以，这存储在Google的……我记不清名字了，
0:08:40.58 --> 0:08:46.23 | 但基本上加密存储在Google的令牌加密系统上。我忘了名字。
0:08:46.23 --> 0:08:48.47 | 总之，所有东西都存储着。
0:08:48.47 --> 0:08:51.27 | 即使我被黑客攻击了，它也安全存储。
0:08:51.27 --> 0:08:56.32 | 所以，这就是我怎么添加环境变量来给它访问权限，比如，
0:08:56.32 --> 0:08:59.51 | 我的只读MongoDB数据库。
0:08:59.51 --> 0:09:02.00 | 我可以给它任何访问权限。
0:09:02.00 --> 0:09:06.59 | 嗯，这就是系统的基础。
0:09:06.59 --> 0:09:11.59 | 现在，让我们进入有趣的部分，这就是自动化。有两部分。
0:09:11.59 --> 0:09:16.27 | 我有任务，基本上是一个看板，任务可以在上面流转。
0:09:16.27 --> 0:09:17.69 | 我有目标，更开放。
0:09:17.69 --> 0:09:21.71 | 我觉得现在人们叫它“gauntlet loop”。
0:09:21.71 --> 0:09:25.71 | 它更像是一个“gauntlet loop”。所以，是的。
0:09:25.71 --> 0:09:30.00 | 我们先从任务开始。
0:09:30.11 --> 0:09:31.91 | 我们叫它canary。
0:09:31.91 --> 0:09:35.14 | 嗯，启动一个会话。
0:09:35.14 --> 0:09:46.63 | 向我的收件箱打个招呼，然后完成这个任务。可以添加附件。
0:09:46.63 --> 0:09:49.60 | 我可以调用一个代理，比如高级开发，
0:09:49.60 --> 0:09:50.73 | 我可以立即运行一次。
0:09:50.73 --> 0:09:53.63 | 我可以安排到另一天，或者我可以让它重复，
0:09:53.63 --> 0:09:58.18 | 比如每个月的每个星期一我想让我的收件箱被总结，
0:09:58.18 --> 0:10:02.00 | 我可以这样设置重复任务。
0:10:02.00 --> 0:10:05.11 | 美妙之处还在于我可以从模板开始。
0:10:05.11 --> 0:10:06.51 | 所以，我有多个模板。
0:10:06.51 --> 0:10:11.33 | 比如，我有我的“复合工程师工作流”，我现在就启动它。
0:10:11.33 --> 0:10:15.27 | 嗯，这基本上是我要构建新功能时的模板，
0:10:15.27 --> 0:10:20.81 | 这是一个3小时完全由Blend管理的流程。这就是我怎么做。
0:10:20.81 --> 0:10:25.39 | 所以，比如说，canary任务，
0:10:25.39 --> 0:10:29.00 | 给我的标题加一个解释。
0:10:29.24 --> 0:10:33.51 | 我稍后会展示我怎么制作这些模板。我创建它。
0:10:33.51 --> 0:10:39.19 | 现在，这是子任务。这是我做的模板。
0:10:39.19 --> 0:10:43.87 | 嗯，基本上每个任务都是一个后续任务，
0:10:43.87 --> 0:10:46.55 | 针对特定代理和特定提示词。
0:10:46.55 --> 0:10:48.84 | 比如，第一个任务是写规格。
0:10:48.84 --> 0:10:51.77 | 你可以看到它是“待批准”。
0:10:51.77 --> 0:10:55.00 | 所以，这个任务永远不能由代理完成。
0:10:55.00 --> 0:10:58.44 | 我需要手动把它标记为完成，下一个任务才能开始，
0:10:58.44 --> 0:11:03.19 | 因为任务可以被标记为完成，然后下一个任务自动开始。
0:11:03.19 --> 0:11:05.97 | 比如，如果一个代理会说，“好的，计划审查完成了。
0:11:05.97 --> 0:11:08.95 | ”它检查一下，然后下一个任务自动跟进。
0:11:08.95 --> 0:11:10.99 | 所以，这个任务是什么？
0:11:10.99 --> 0:11:16.63 | 基本上说，“好的，为下面的功能生成一个详细规格。规格文件已附上。完善它。
0:11:16.63 --> 0:11:17.55 | 等等等等。
0:11:17.55 --> 0:11:21.00 | ”所以，这个代理会启动一个会话。
0:11:21.00 --> 0:11:22.62 | 我们可以……说实话我们可以启动它。
0:11:22.62 --> 0:11:23.99 | 所以，我现在就启动它。
0:11:23.99 --> 0:11:25.65 | 我说，“好的，现在开始。
0:11:25.65 --> 0:11:27.69 | ”只是举个例子，它会启动。
0:11:27.69 --> 0:11:30.35 | 一旦这个代理完成，我批准了，
0:11:30.35 --> 0:11:38.05 | 基本上它交付一个……我们可以看一个之前例子的。不是那个。我觉得我们可以。
0:11:38.05 --> 0:11:44.95 | 所以，这基本上是一个完成的运行。
0:11:44.95 --> 0:11:48.00 | 所以，这个任务创建规格，对吧？
0:11:48.00 --> 0:11:52.24 | 我给了这个代理访问我的收件箱的权限，稍后再说那个，
0:11:52.24 --> 0:11:54.39 | 但基本上它回来的是一个规格。
0:11:54.39 --> 0:12:00.99 | 我读了，一旦我批准并标记完成，下一个任务开始，就是规划代理。
0:12:00.99 --> 0:12:11.47 | 规划代理的唯一目标是把规格变成计划。把它变成计划。
0:12:11.47 --> 0:12:17.00 | 在活动收件箱里写细节，我可以给你看一个会话。
0:12:17.00 --> 0:12:19.96 | 它基本上一直在运行写计划，完成后，
0:12:19.96 --> 0:12:21.74 | 它写计划并告诉我需要审查。
0:12:21.74 --> 0:12:30.43 | 然后，不过多深入，下一个启动的是计划审查。
0:12:30.43 --> 0:12:31.69 | 我不信任计划本身，
0:12:31.69 --> 0:12:37.67 | 所以我想让一个审查协调员启动四个不同的审查代理，
0:12:37.67 --> 0:12:44.40 | 可行性、范围守护者、连贯性，来检查计划，写报告，
0:12:44.40 --> 0:12:48.00 | 然后主协调员的计划是等这一切都完成后。
0:12:48.00 --> 0:12:50.80 | 所以，我会在会话里给你看。
0:12:50.80 --> 0:12:55.87 | 这个基本上启动这些会话，拿回报告的消息，
0:12:55.87 --> 0:12:58.19 | 等所有事情完成后，
0:12:58.19 --> 0:13:03.35 | 这个会读取并写一个所有发现问题的汇总。
0:13:03.35 --> 0:13:06.39 | 它是必须修复、应该修复。
0:13:06.39 --> 0:13:07.95 | 我不会太深入提示词。
0:13:07.95 --> 0:13:11.00 | 我以后可以发布这些，如果有人想要，就在评论里告诉我。
0:13:11.00 --> 0:13:17.18 | 嗯，所以，是的。这个是计划。
0:13:17.18 --> 0:13:20.40 | 然后下一个代理根据审查修改计划。
0:13:20.40 --> 0:13:26.54 | 所以，它拿到这一步写的计划，根据审查发现调整。
0:13:26.54 --> 0:13:32.13 | 完成，然后只有在那时实施计划执行者才会实施。它会写代码。
0:13:32.13 --> 0:13:37.06 | 完成后，它自动生成审查协调员，审查代码，提出怎么修复。
0:13:37.06 --> 0:13:40.00 | 下一个高级开发应用审查修复。
0:13:40.00 --> 0:13:41.26 | 我有一个图书管理员，
0:13:41.26 --> 0:13:45.90 | 根据我们代码库的运作方式更新内部维基，
0:13:45.90 --> 0:13:50.55 | 只有在那时我才被分配去审查这个部署。
0:13:50.55 --> 0:13:54.85 | 所以，基本上，如你所见，
0:13:54.85 --> 0:14:01.44 | 我在8月下午3点启动了这项任务，到晚上9点，
0:14:01.44 --> 0:14:03.52 | 5小时后，它完全完成了所有步骤，
0:14:03.52 --> 0:14:06.15 | 可能是因为我忘了回答一个问题。
0:14:06.15 --> 0:14:09.79 | 我会继续推进实施，我睡了一觉第二天回来，
0:14:09.79 --> 0:14:14.00 | 等着一个漂亮的PR。
0:14:14.00 --> 0:14:19.30 | 而我从那个PR中唯一需要做的就是查看一下，
0:14:19.30 --> 0:14:20.37 | 确认一切是否正常。
0:14:20.37 --> 0:14:22.55 | 99%的情况下都能正常工作，
0:14:22.55 --> 0:14:25.48 | 因为我在里面实现了端到端测试，
0:14:25.48 --> 0:14:27.01 | 所以所有东西都替我测试好了。
0:14:27.01 --> 0:14:32.35 | 不过，这些任务有时也需要你的帮助，对吧？
0:14:32.35 --> 0:14:37.79 | 所以，它联系我的方式是通过给我发送收件箱消息。
0:14:37.79 --> 0:14:39.95 | 收件箱基本上就是一个MCP，
0:14:39.95 --> 0:14:43.14 | 我的代理可以往里面发消息，一旦我回复，
0:14:43.14 --> 0:14:44.15 | 它就会把消息传回去。
0:14:44.15 --> 0:14:46.59 | 比如，这个目标准备好了，
0:14:46.59 --> 0:14:51.00 | 系统会给你发消息说它准备好了，然后我就可以采取行动。
0:14:51.00 --> 0:14:52.10 | 但我们也可以互相沟通聊天。
0:14:52.10 --> 0:14:56.66 | 比如，我刚刚启动了canary，我说：“好的，
0:14:56.66 --> 0:14:58.22 | 给我发条测试消息。
0:14:58.22 --> 0:15:02.33 | ”然后代理就会等着我的回复。
0:15:02.33 --> 0:15:10.11 | 所以，我可以回复说“嗨”，它也会回复我。
0:15:10.11 --> 0:15:14.38 | 但它还能提出开放式问题。
0:15:14.38 --> 0:15:17.88 | 我本来以为会收到那个问题，但没成功。
0:15:17.88 --> 0:15:23.21 | 不过基本上，它也能给我发送带标签的多选题，
0:15:23.21 --> 0:15:25.46 | 我只需要按下我想回答的选项按钮。
0:15:25.46 --> 0:15:28.00 | 你可能在云端处理过多选题。
0:15:28.00 --> 0:15:30.36 | 嗯，发条消息回去，它就会一直填充直到完成，
0:15:30.36 --> 0:15:32.29 | 然后给我写一份规格说明。
0:15:32.29 --> 0:15:35.19 | 所以，一切都集成在这个收件箱里。
0:15:35.19 --> 0:15:38.53 | 显然，我不需要坐在家里等它。
0:15:38.53 --> 0:15:40.88 | 这一切都是移动端适配的。
0:15:40.88 --> 0:15:46.26 | 所以，我去健身房时，当有事情完成或需要我帮忙时，
0:15:46.26 --> 0:15:49.00 | 我的渐进式网络应用会给我推送消息。
0:15:49.00 --> 0:15:50.59 | 我只需回复它。是的，完美。
0:15:50.59 --> 0:15:54.03 | 所以，这里是开放式问题。这是规格说明。
0:15:54.03 --> 0:15:58.61 | 它问我：“好的，哪个文本是我的标题？”我选零。
0:15:58.61 --> 0:16:02.47 | 下一个问题，在标题的最后。
0:16:02.47 --> 0:16:06.72 | 所以，只有在需要我时，它才会问我问题来继续工作，
0:16:06.72 --> 0:16:11.00 | 当它卡住时，一旦解决，它就会继续构建所有东西。
0:16:11.00 --> 0:16:12.63 | 这就是收件箱。
0:16:12.63 --> 0:16:16.07 | 这就是我和我的代理沟通的方式。
0:16:16.07 --> 0:16:21.39 | 嗯，可以很容易地看到活动情况，发生了什么。
0:16:21.39 --> 0:16:25.75 | 我可以观看任何会话，所以我能确切知道“好的，这是在进行的”。
0:16:25.75 --> 0:16:30.22 | 对于我的游戏，我目前正在实现农场系统。
0:16:30.22 --> 0:16:34.11 | 我可以看到“好的，我的代理在这里工作”。
0:16:34.11 --> 0:16:36.27 | 这是所有事情发生的实时流。
0:16:36.27 --> 0:16:38.55 | 所以，我可以直接观看发生了什么，
0:16:38.55 --> 0:16:42.00 | 确切知道调用了哪些工具。
0:16:42.00 --> 0:16:45.27 | 这些是预选的任务。
0:16:45.27 --> 0:16:54.05 | 现在，对于Hedgehog Pro，比如，我有触发器。什么是触发器？
0:16:54.05 --> 0:16:59.87 | 任何时候，比如，当客户支持消息进入我们的客服聊天时，
0:16:59.87 --> 0:17:04.50 | 它会向这个触发器发送一个webhook。
0:17:04.50 --> 0:17:07.15 | 我设置了一个webhook，
0:17:07.15 --> 0:17:13.00 | 然后基本上它会启动一个针对那个特定触发器运行的任务。
0:17:13.00 --> 0:17:21.79 | 嗯，我可能在不展示具体内容的情况下举个例子。
0:17:21.79 --> 0:17:26.06 | 是的，基本上一旦触发，
0:17:26.06 --> 0:17:32.83 | 这个代理就能访问我的客户支持系统，所以它可以调出来。
0:17:32.83 --> 0:17:36.19 | 它可以看到，好的，它在分析客服聊天，
0:17:36.19 --> 0:17:41.27 | 然后它会分配我的客服代表或客户经理给某个客户聊天。
0:17:41.27 --> 0:17:45.27 | 全部由AgentOS自动化，
0:17:45.27 --> 0:17:49.00 | 所以我可以很容易地调整提示词。
0:17:49.00 --> 0:17:52.12 | 嗯，我不会展示秘密。
0:17:52.12 --> 0:17:56.19 | 总之，那个触发器已经被触发了600次。
0:17:56.19 --> 0:18:01.36 | 所以，那是600个我不用手动做的任务。
0:18:01.36 --> 0:18:05.13 | 第二个是我有bug报告，这个挺有意思。
0:18:05.13 --> 0:18:11.79 | 每当我们的客户支持在后端提交bug时，
0:18:11.79 --> 0:18:14.55 | 我有一个任务基本上诊断原因，
0:18:14.55 --> 0:18:17.87 | 因为这个诊断代理能访问我们的代码库和客服聊天，
0:18:17.87 --> 0:18:21.00 | 所以它可以开始分析，嘿，问题是什么？
0:18:21.00 --> 0:18:21.71 | 生成报告。
0:18:21.71 --> 0:18:27.28 | 基于此，如果我批准，嘿，这是bug的正确发现，
0:18:27.28 --> 0:18:32.47 | 它就会开始实施计划、审查计划、修复它，
0:18:32.47 --> 0:18:33.75 | 做整个端到端测试，
0:18:33.75 --> 0:18:36.33 | 我再也不用手动处理大的bug修复了。
0:18:36.33 --> 0:18:39.55 | 嗯，我只需要事后手动审查和合并，
0:18:39.55 --> 0:18:41.56 | 这真的节省了我很多时间。
0:18:41.56 --> 0:18:43.00 | 所以，这些就是触发器。
0:18:43.00 --> 0:18:43.81 | 我们还有自动化。
0:18:43.81 --> 0:18:47.23 | 这些就像cron任务，每周运行。
0:18:47.23 --> 0:18:52.19 | 嗯，这就像我们的每周LinkedIn内容。
0:18:52.19 --> 0:18:57.93 | 这会在月初启动一个机器人为我们创建LinkedIn内容。
0:18:57.93 --> 0:19:04.51 | 所以，一切都是自动化的，都是隔离的。
0:19:04.51 --> 0:19:10.21 | 顺便说一句，这解释了很多。
0:19:10.21 --> 0:19:13.66 | 现在，最后，我有目标。
0:19:13.66 --> 0:19:16.54 | 任务非常适合结构化内容。
0:19:16.54 --> 0:19:22.00 | 对于我没有结构且更像是开放式实现的东西，我有目标。
0:19:22.00 --> 0:19:24.55 | 那么，什么是目标？
0:19:24.55 --> 0:19:29.03 | 目标基本上基于完成定义运行。
0:19:29.03 --> 0:19:35.10 | 你可以自己写，或者我直接在里面放一个规格说明书。
0:19:35.10 --> 0:19:37.37 | 它会写一个完成定义。
0:19:37.37 --> 0:19:41.39 | 它会说：“好的，这些是成功标准。
0:19:41.39 --> 0:19:46.45 | ”这个循环会一直持续，直到满足所有完成定义，
0:19:46.45 --> 0:19:49.57 | 所有复选框都打勾，然后它才停止运行。
0:19:49.57 --> 0:19:51.52 | 所以，第一阶段是“好的，
0:19:51.52 --> 0:19:55.78 | 按照规格说明交付字段和钻机”。
0:19:55.78 --> 0:20:01.00 | 嗯，最后步骤是实施必须经过审查并落地。
0:20:01.12 --> 0:20:04.23 | 所以，它会继续这个实施过程。
0:20:04.23 --> 0:20:08.16 | 那么，它是怎么工作的？有一个协调器。
0:20:08.16 --> 0:20:13.29 | 所以，在每个会话结束时，协调器会生成一个会话。
0:20:13.29 --> 0:20:17.11 | 当它完成时，协调器基本上会再检查一次。
0:20:17.11 --> 0:20:19.31 | 它说：“好的，会话完成。
0:20:19.31 --> 0:20:22.75 | ”它检查进度日志，检查完成定义，检查已实施的内容，
0:20:22.75 --> 0:20:29.57 | 基于所有已完成的事情，协调器说：“好的，这个完成了，
0:20:29.57 --> 0:20:32.31 | 这个实施了，这个完成定义还开着。
0:20:32.31 --> 0:20:38.05 | 我要生成一个高级开发人员来实施这个功能。他完成了吗？
0:20:38.05 --> 0:20:40.63 | ”然后协调器会问：“好的，需要做什么？
0:20:40.63 --> 0:20:42.93 | ”下一步显然是我们需要写个计划。
0:20:42.93 --> 0:20:46.00 | 它会生成一个计划代理来为我们工作。
0:20:46.00 --> 0:20:48.01 | 所以，这里你可以看到正在发生的事情。
0:20:48.01 --> 0:20:49.72 | 高级开发人员正在工作。
0:20:49.72 --> 0:20:54.09 | 嗯，我们有一个共享的收件箱和文件系统，
0:20:54.09 --> 0:20:56.03 | 所以我可以确切看到他们在那里写了什么。
0:20:56.03 --> 0:20:57.76 | 他们在写进度日志。
0:20:57.76 --> 0:21:03.81 | 每个完成定义都有一个限制，所以它有支出上限，
0:21:03.81 --> 0:21:07.77 | 因为我曾经一晚运行一个没有支出上限的目标，
0:21:07.77 --> 0:21:11.88 | 结果直接花掉了1000美元，所以我设置了这些。
0:21:11.88 --> 0:21:15.00 | 它也有最大运行时间。
0:21:15.00 --> 0:21:19.55 | 它只能在相同的迭代中卡住19次，之后协调器就会说：
0:21:19.55 --> 0:21:20.63 | “好的，你卡住了。
0:21:20.63 --> 0:21:21.82 | 我们不再继续运行了。
0:21:21.82 --> 0:21:30.16 | ”我最近添加的是所有这些都在云端管理的代理中运行。
0:21:30.16 --> 0:21:35.31 | 这是Anthropic构建的API。
0:21:35.31 --> 0:21:38.99 | 嗯，这变得非常昂贵。
0:21:38.99 --> 0:21:42.00 | 如你所见，我每天大约花费500美元。
0:21:42.00 --> 0:21:46.88 | 所以，我现在终于把它部署在虚拟机上。谢天谢地。
0:21:46.88 --> 0:21:51.08 | 你可以看到它在这里运行。我有一个在运行。
0:21:51.08 --> 0:21:53.87 | 这是一个10美元的Hetzner虚拟机，
0:21:53.87 --> 0:22:01.26 | 运行着cloud的dangerously skip
0:22:01.26 --> 0:22:05.54 | permissions和grok yolo模式。
0:22:05.54 --> 0:22:06.78 | 所以，它可以在那里生成。
0:22:06.78 --> 0:22:09.31 | 当它忙碌时，它会使用云端，否则就在本地运行。
0:22:09.31 --> 0:22:10.75 | 所以，对于目标，我可以说：“好的，
